baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	type	dynamic
ENSG00000002079	12.0556265419822	2.32489084138181	0.22093486068301	10.522969685248	6.77053232690654e-26	1.27739661453527e-24	 transcribed_unitary_pseudogene	DDG
ENSG00000003249	805.474372506207	2.43582429794212	0.157902309582827	15.426147371609	1.09197091066736e-53	1.15086435464114e-51	 protein_coding	NO
ENSG00000004776	533.672956295249	-3.55184144851134	0.30626674168125	-11.5972156461179	4.25704096910889e-31	1.11663573673401e-29	 protein_coding	NO
ENSG00000004799	1026.91171115171	-3.3100095187306	0.196342163093288	-16.8583734974842	9.10606312277546e-64	1.6302636502513e-61	 protein_coding	NO
ENSG00000004846	8.98756589261187	-3.01306060871374	0.437791331787945	-6.8824126700005	5.88472420336758e-12	3.68620203039976e-11	 protein_coding	NO
ENSG00000005001	823.06169910549	4.07566173543877	0.18663733306975	21.8373337659921	1.0256875982071e-105	9.34469781139884e-103	 protein_coding	NO
ENSG00000005981	19.9436400725516	2.03843055352553	0.367390184765969	5.54840776387108	2.88282900993485e-08	1.22693059015166e-07	 protein_coding	NO
ENSG00000006071	15.5633612645924	-2.00472050243808	0.294053777571371	-6.81753017762715	9.26189532817514e-12	5.69123478214215e-11	 protein_coding	NO
ENSG00000006118	1382.04779673004	2.56834109839395	0.141324717384895	18.1733326336619	8.39415391481128e-74	2.73129779523359e-71	 protein_coding	NO
ENSG00000006327	1902.82881440205	2.41499209712659	0.137471124630923	17.5672680616404	4.38800455362941e-69	1.07724198017783e-66	 protein_coding	NO
ENSG00000006377	29.9075414046976	3.8280468049834	0.435015226318446	8.79979957800636	1.37060714120339e-18	1.5244750834253e-17	 protein_coding	NO
ENSG00000006606	30.3505639231103	2.21983448635176	0.272929027632714	8.13337630520943	4.17496069605131e-16	3.84813486098723e-15	 protein_coding	NO
ENSG00000006704	2385.52448231511	2.14091415079796	0.104271246889136	20.5321621700201	1.11118818833939e-93	6.79947661873709e-91	 protein_coding	NO
